,index,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active
67,67,bfs,1012,0.904550972,0,0,0,0.213263632,0,0.002288762,0,21583625.62,43259005.84,86.66524419,24.67757231,23.81697487,85.76244666,69.57224087,1202.266,21,0.002288762
68,68,bfs,1020,0.912080292,0,0,0,0.216780593,0,0.002229712,0,22410036.27,50347430.28,86.66852726,25.08501503,24.32417347,85.96650923,70.26620309,1203.414,20.98,0.002229712
69,69,bfs,1027,0.912767865,0,0,0,0.216226505,0,0.002181897,0,18859586.43,21280096.57,85.68644435,24.5591165,23.96015591,84.84408835,70.43360459,1203.259,20.99333333,0.002181897
70,70,bfs,1035,0.911411606,0,0,0,0.215581197,0,0.00217139,0,19723942.37,27723747.05,88.5708502,25.37291948,24.8974359,88.11111111,70.83017094,1188.198,20.96666667,0.00217139
71,71,bfs,1042,0.913112309,0,0,0,0.217300988,0,0.002146002,0,18661211.12,20779376.18,86.28571429,24.99775382,24.28032345,85.61051213,70.87946676,1211.01,21.09333333,0.002146002
72,72,bfs,1050,0.902613647,0,0,0,0.215810212,0,0.002183461,0,21808689.64,38881177.45,88.82241301,25.30094894,24.73971984,88.21644826,70.92507953,1189.118,20.51,0.002183461
73,73,bfs,1057,0.902727441,0,0,0,0.214683017,0,0.002173068,0,20405278.39,32114842.77,88.08283202,25.13419713,24.67746414,87.57797316,70.77884683,1196.004,20.86666667,0.002173068
74,74,bfs,1065,0.900709336,0,0,0,0.213200192,0,0.002186237,0,21008956.83,29841919.66,85.10683349,24.51106833,24.25168431,85.46438884,70.85559095,1220.024,20.85333333,0.002186237
75,75,bfs,1072,0.905945622,0,0,0,0.215658065,0,0.002179263,0,22629958.28,53202515.63,88.44285714,25.39170507,24.90276498,87.8718894,70.98704931,1194.81,20.35,0.002179263
76,76,bfs,1080,0.907235033,0,0,0,0.217089579,0,0.002184922,0,24418646.51,69091180.51,89.27006652,25.78758315,25.65011086,88.8962306,71.31788293,1191.894,20.48666667,0.002184922
77,77,bfs,1087,0.894639623,0,0,0,0.213263208,0,0.002210849,0,29328542.91,22872701,84.46698113,24.41084906,23.86415094,83.94811321,70.72055991,1226.98,20.85333333,0.002210849
78,78,bfs,1095,0.913612596,0,0,0,0.219212959,0,0.00209923,0,18809355.28,21365083.93,88.98731309,25.75260535,25.2646126,87.90258269,72.2450947,1198.16,20.64333333,0.00209923
79,79,bfs,1102,0.897602934,0,0,0,0.213836252,0,0.002178419,0,20785182.85,30970560.15,89.29626124,25.75863701,25.29957407,88.68954094,71.50513583,1197.05,20.27,0.002178419
80,80,bfs,1110,0.904645736,0,0,0,0.216848641,0,0.002103561,0,20025405.07,22665520.06,85.1054358,24.62043112,24.16869728,84.68041237,72.22468416,1229.846,20.98666667,0.002103561
81,81,bfs,1117,0.90283365,0,0,0,0.21648289,0,0.002139259,0,19623256.13,23759068.1,87.12214829,24.9581749,24.82176806,86.94153992,71.94926378,1218.825,20.5,0.002139259
82,82,bfs,1125,0.911425918,0,0,0,0.218359827,0,0.002140821,0,18668828.67,21455009.8,86.50971922,25.05917927,24.71922246,86.02764579,72.65280302,1223.81,20.55666667,0.002140821
83,83,bfs,1132,0.926,0,0,0,0.224,0,0.002,0,20314116,24075989,95,33,33,95,74.09685714,1.382,20.52666667,0.002
84,84,bfs,1140,0.862296296,0,0,0,0.196259259,0,0.002,0,25212105.41,90180203.85,82.59259259,21.48148148,20.92592593,82.33333333,76.12840741,110.255,20.45333333,0.002
85,85,bfs,1147,0.898868345,0,0,0,0.217985479,0,0.002101646,0,23299320.52,54736711.99,87.5624395,25.57986447,25.07454017,87.16360116,72.49936302,1217.271,20.85666667,0.002101646
86,86,bfs,1155,0.899824299,0,0,0,0.216881308,0,0.00210514,0,19766948.69,22262872.89,85.42943925,25.11074766,24.42056075,84.88411215,72.97465467,1236.175,20.88666667,0.00210514
87,87,bfs,1162,0.903315171,0,0,0,0.216752466,0,0.002096289,0,19907531.07,28718034.44,88.40441522,25.82292156,25.18835134,87.93752936,72.88198826,1213.483,20.45,0.002096289
88,88,bfs,1170,0.901957733,0,0,0,0.219135927,0,0.002122959,0,19513054.01,23477884.74,84.60566763,24.64409222,23.61575408,83.44476465,73.79986888,1253.429,21.15333333,0.002122959
89,89,bfs,1177,0.84552,0,0,0,0.23516,0,0.002,0,19388942.64,58165418.12,82.2,23.12,22.6,81.56,77.93492,112.961,20.93666667,0.002
90,90,bfs,1185,0.898350803,0,0,0,0.217274315,0,0.002114259,0,20432440.2,23418104.19,88.38574127,25.89140699,25.34419263,87.8394712,75.33116478,1250.196,20.72,0.002114259
91,91,bfs,1192,0.905160809,0,0,0,0.219612903,0,0.002092922,0,21990366.46,41404218.91,88.67693789,26.02070294,25.47761194,88.18536351,75.529,1245.14,20.67333333,0.002092922
92,92,bfs,1200,0.877238095,0,0,0,0.000809524,0,0.002,0,41845.09524,48409.52381,88.04761905,29.42857143,28.42857143,88.04761905,57.0512381,152.786,20.77333333,0.002
93,93,bfs,1207,0.906795455,0,0,0,0.219876482,0,0.002119565,0,21754682.84,37135396.1,85.92786561,25.4194664,24.67687747,85.2722332,76.4007248,1283.631,20.47666667,0.002119565
94,94,bfs,1215,0.910834249,0,0,0,0.221767399,0,0.002118132,0,21722726.36,41708717.07,88.04258242,25.79441392,25.53617216,87.60897436,76.41804075,1268.567,20.76333333,0.002118132
95,95,bfs,1222,0.903767609,0,0,0,0.221111164,0,0.002085769,0,19742740.87,22497528.69,84.44849066,24.77910877,24.45807379,84.35936751,77.29383086,1306.705,20.56666667,0.002085769
96,96,bfs,1230,0.906285169,0,0,0,0.219342871,0,0.002074869,0,20853536.75,35073902.27,84.60848832,24.37672866,23.56652361,83.70386266,78.04029089,1335.551,21.12,0.002074869
97,97,bfs,1237,0.896490602,0,0,0,0.218657349,0,0.002068434,0,20032598.15,22878233.61,85.52240964,25.10168675,24.35807229,84.8173494,77.53365349,1308.235,20.68666667,0.002068434
98,98,bfs,1245,0.890448162,0,0,0,0.214951461,0,0.002073044,0,20209256.95,23923323.44,87.93638077,25.93355325,25.06173421,87.27756833,78.29757634,1308.67,20.66,0.002073044
99,99,bfs,1252,0.903117813,0,0,0,0.219269557,0,0.002119227,0,21747740.3,45488956.05,88.88312912,26.11875589,25.5537229,88.34401508,77.98696277,1285.764,20.15,0.002119227
100,100,bfs,1260,0.910752952,0,0,0,0.224787435,0,0.002128484,0,20871925.04,30809592.64,86.62399622,25.81294284,25.71421823,86.50212565,79.70551157,1322.271,20.67333333,0.002128484
