,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active,predicted_power_usage,predicted_run_time,energy,predicted_energy
55,bfs,922,0.90198714,0,0,0,0.210795565,0,0.002478492,0,18534938.4,20692250.16,84.8864745,24.08381375,23.51662971,84.38625277,67.91563548,1193.562,21.67666667,0.002478492,67.34362643,21.47236191,1472.184592,1446.026719
56,bfs,930,0.90481629,0,0,0,0.210795928,0,0.002376471,0,20813579,28548124.64,85.46153846,24.13891403,23.85429864,85.24117647,67.85471448,1190.221,21.33666667,0.002376471,67.96651603,21.39401429,1447.793425,1454.076615
57,bfs,937,0.908027132,0,0,0,0.211122578,0,0.002475775,0,18963283.81,21542460.47,89.14583333,24.92781008,24.57170543,88.64728682,67.971047,1163.41,21.14666667,0.002475775,67.83421352,21.4093881,1437.361074,1452.289004
58,bfs,945,0.903562925,0,0,0,0.209159864,0,0.002383078,0,20928325.84,39842571.94,86.31590136,24.53316327,23.84693878,85.65731293,68.0018801,1188.239,21.45,0.002383078,67.708834,21.24600238,1458.640328,1438.542048
59,bfs,952,0.906538221,0,0,0,0.213385785,0,0.002401878,0,23346109.42,56372942.07,89.34376397,25.10952168,24.7934734,88.87751453,68.53658918,1164.002,21.29333333,0.002401878,68.59406795,21.23484524,1459.372439,1456.584417
60,bfs,960,0.906019531,0,0,0,0.213237305,0,0.002310059,0,20617667.25,31192901.23,89.05761719,25.24755859,24.53466797,88.47314453,68.72453516,1170.117,20.82,0.002310059,69.00338304,21.07214286,1430.844822,1454.049145
61,bfs,967,0.906962349,0,0,0,0.212873151,0,0.002373375,0,22310438.31,48025849.38,89.23083819,25.22770058,24.3617212,88.48095025,68.95787584,1167.168,21.10666667,0.002373375,68.6620185,21.0337381,1455.4709,1444.218915
62,bfs,975,0.688893646,0,0,0,0.1165,0,0.001504144,0,5576970,6069056,79.13535912,21.23066298,20.85220994,78.77624309,61.52913812,205.58,21.20666667,0.001504144,36.14630739,21.13417143,1304.827923,763.9222569
63,bfs,982,0.907121693,0,0,0,0.214262787,0,0.002337743,0,22328853.63,50723686.85,88.37566138,25.22707231,24.60670194,87.89814815,69.06488272,1174.997,21.01,0.002337743,69.13843702,21.20711429,1451.053186,1466.226736
64,bfs,990,0.902072694,0,0,0,0.213935484,0,0.002313948,0,19221470.56,21748925.2,85.24488869,23.94320763,23.15356656,84.49068605,69.24400636,1208.858,21.40333333,0.002313948,69.28623191,20.8539,1482.052549,1444.888152
65,bfs,997,0.903753853,0,0,0,0.213676794,0,0.002324527,0,23948564.2,65315982.56,88.67062968,25.22192867,24.67679436,88.12813738,69.39293219,1177.818,20.55333333,0.002324527,69.20978609,21.29459286,1426.256066,1473.794217
66,bfs,1005,0.932114213,0,0,0,0.18,0,0.002,0,17156534,18994734,89.20558376,27.17005076,26.53553299,88.74365482,68.27224365,137.252,21.27666667,0.002,70.39381403,21.11140952,1452.605771,1486.112636
67,bfs,1012,0.904550972,0,0,0,0.213263632,0,0.002288762,0,21583625.62,43259005.84,86.66524419,24.67757231,23.81697487,85.76244666,69.57224087,1202.266,21,0.002288762,69.30100392,21.01929762,1461.017058,1456.658427
68,bfs,1020,0.912080292,0,0,0,0.216780593,0,0.002229712,0,22410036.27,50347430.28,86.66852726,25.08501503,24.32417347,85.96650923,70.26620309,1203.414,20.98,0.002229712,70.44678005,20.97449286,1474.184941,1477.585485
69,bfs,1027,0.912767865,0,0,0,0.216226505,0,0.002181897,0,18859586.43,21280096.57,85.68644435,24.5591165,23.96015591,84.84408835,70.43360459,1203.259,20.99333333,0.002181897,70.59827853,20.95886905,1478.636139,1479.660075
70,bfs,1035,0.911411606,0,0,0,0.215581197,0,0.00217139,0,19723942.37,27723747.05,88.5708502,25.37291948,24.8974359,88.11111111,70.83017094,1188.198,20.96666667,0.00217139,70.90921277,20.97158333,1485.072584,1487.078464
71,bfs,1042,0.913112309,0,0,0,0.217300988,0,0.002146002,0,18661211.12,20779376.18,86.28571429,24.99775382,24.28032345,85.61051213,70.87946676,1211.01,21.09333333,0.002146002,71.65913197,21.01063333,1495.084219,1505.603747
72,bfs,1050,0.902613647,0,0,0,0.215810212,0,0.002183461,0,21808689.64,38881177.45,88.82241301,25.30094894,24.73971984,88.21644826,70.92507953,1189.118,20.51,0.002183461,70.89743144,20.71266429,1454.673381,1468.474696
73,bfs,1057,0.902727441,0,0,0,0.214683017,0,0.002173068,0,20405278.39,32114842.77,88.08283202,25.13419713,24.67746414,87.57797316,70.77884683,1196.004,20.86666667,0.002173068,71.03686235,20.47704762,1476.918604,1454.625213
74,bfs,1065,0.900709336,0,0,0,0.213200192,0,0.002186237,0,21008956.83,29841919.66,85.10683349,24.51106833,24.25168431,85.46438884,70.85559095,1220.024,20.85333333,0.002186237,70.7078641,20.53634524,1477.575256,1452.081108
75,bfs,1072,0.905945622,0,0,0,0.215658065,0,0.002179263,0,22629958.28,53202515.63,88.44285714,25.39170507,24.90276498,87.8718894,70.98704931,1194.81,20.35,0.002179263,70.93264348,20.55849762,1444.586453,1458.268582
76,bfs,1080,0.907235033,0,0,0,0.217089579,0,0.002184922,0,24418646.51,69091180.51,89.27006652,25.78758315,25.65011086,88.8962306,71.31788293,1191.894,20.48666667,0.002184922,71.13248749,20.65035952,1461.065695,1468.91144
77,bfs,1087,0.894639623,0,0,0,0.213263208,0,0.002210849,0,29328542.91,22872701,84.46698113,24.41084906,23.86415094,83.94811321,70.72055991,1226.98,20.85333333,0.002210849,71.05717717,20.45680476,1474.759409,1453.6028
78,bfs,1095,0.913612596,0,0,0,0.219212959,0,0.00209923,0,18809355.28,21365083.93,88.98731309,25.75260535,25.2646126,87.90258269,72.2450947,1198.16,20.64333333,0.00209923,73.75411813,20.67273333,1491.379571,1524.699216
79,bfs,1102,0.897602934,0,0,0,0.213836252,0,0.002178419,0,20785182.85,30970560.15,89.29626124,25.75863701,25.29957407,88.68954094,71.50513583,1197.05,20.27,0.002178419,71.29200697,20.65927381,1449.409103,1472.841092
80,bfs,1110,0.904645736,0,0,0,0.216848641,0,0.002103561,0,20025405.07,22665520.06,85.1054358,24.62043112,24.16869728,84.68041237,72.22468416,1229.846,20.98666667,0.002103561,72.59245729,20.65214286,1515.755372,1499.189799
81,bfs,1117,0.90283365,0,0,0,0.21648289,0,0.002139259,0,19623256.13,23759068.1,87.12214829,24.9581749,24.82176806,86.94153992,71.94926378,1218.825,20.5,0.002139259,72.28135862,20.65611191,1474.959907,1493.051833
82,bfs,1125,0.911425918,0,0,0,0.218359827,0,0.002140821,0,18668828.67,21455009.8,86.50971922,25.05917927,24.71922246,86.02764579,72.65280302,1223.81,20.55666667,0.002140821,72.53226744,20.66385238,1493.499454,1498.796067
83,bfs,1132,0.926,0,0,0,0.224,0,0.002,0,20314116,24075989,95,33,33,95,74.09685714,1.382,20.52666667,0.002,75.15814947,20.68859286,1520.961488,1554.916354
84,bfs,1140,0.862296296,0,0,0,0.196259259,0,0.002,0,25212105.41,90180203.85,82.59259259,21.48148148,20.92592593,82.33333333,76.12840741,110.255,20.45333333,0.002,71.9084886,20.68444286,1557.079693,1487.387024
85,bfs,1147,0.898868345,0,0,0,0.217985479,0,0.002101646,0,23299320.52,54736711.99,87.5624395,25.57986447,25.07454017,87.16360116,72.49936302,1217.271,20.85666667,0.002101646,73.41221354,20.72575,1512.095048,1521.523185
86,bfs,1155,0.899824299,0,0,0,0.216881308,0,0.00210514,0,19766948.69,22262872.89,85.42943925,25.11074766,24.42056075,84.88411215,72.97465467,1236.175,20.88666667,0.00210514,73.13076705,20.78517381,1524.197287,1520.035704
87,bfs,1162,0.903315171,0,0,0,0.216752466,0,0.002096289,0,19907531.07,28718034.44,88.40441522,25.82292156,25.18835134,87.93752936,72.88198826,1213.483,20.45,0.002096289,74.08257212,20.87342857,1490.43666,1546.357277
88,bfs,1170,0.901957733,0,0,0,0.219135927,0,0.002122959,0,19513054.01,23477884.74,84.60566763,24.64409222,23.61575408,83.44476465,73.79986888,1253.429,21.15333333,0.002122959,74.94924562,20.56040714,1561.113226,1540.987005
89,bfs,1177,0.84552,0,0,0,0.23516,0,0.002,0,19388942.64,58165418.12,82.2,23.12,22.6,81.56,77.93492,112.961,20.93666667,0.002,74.73575909,20.69037381,1631.697442,1546.310793
90,bfs,1185,0.898350803,0,0,0,0.217274315,0,0.002114259,0,20432440.2,23418104.19,88.38574127,25.89140699,25.34419263,87.8394712,75.33116478,1250.196,20.72,0.002114259,75.18342437,20.71692143,1560.861734,1557.569096
91,bfs,1192,0.905160809,0,0,0,0.219612903,0,0.002092922,0,21990366.46,41404218.91,88.67693789,26.02070294,25.47761194,88.18536351,75.529,1245.14,20.67333333,0.002092922,76.96510751,20.7386381,1561.436193,1596.151511
92,bfs,1200,0.877238095,0,0,0,0.000809524,0,0.002,0,41845.09524,48409.52381,88.04761905,29.42857143,28.42857143,88.04761905,57.0512381,152.786,20.77333333,0.002,65.20436236,20.61538333,1185.144386,1344.212925
93,bfs,1207,0.906795455,0,0,0,0.219876482,0,0.002119565,0,21754682.84,37135396.1,85.92786561,25.4194664,24.67687747,85.2722332,76.4007248,1283.631,20.47666667,0.002119565,76.57525472,20.48837857,1564.432175,1568.902808
94,bfs,1215,0.910834249,0,0,0,0.221767399,0,0.002118132,0,21722726.36,41708717.07,88.04258242,25.79441392,25.53617216,87.60897436,76.41804075,1268.567,20.76333333,0.002118132,77.19541587,20.49447619,1586.693253,1582.079613
95,bfs,1222,0.903767609,0,0,0,0.221111164,0,0.002085769,0,19742740.87,22497528.69,84.44849066,24.77910877,24.45807379,84.35936751,77.29383086,1306.705,20.56666667,0.002085769,76.95300097,20.74509048,1589.676455,1596.396968
96,bfs,1230,0.906285169,0,0,0,0.219342871,0,0.002074869,0,20853536.75,35073902.27,84.60848832,24.37672866,23.56652361,83.70386266,78.04029089,1335.551,21.12,0.002074869,77.52591481,20.6428381,1648.210944,1600.354908
97,bfs,1237,0.896490602,0,0,0,0.218657349,0,0.002068434,0,20032598.15,22878233.61,85.52240964,25.10168675,24.35807229,84.8173494,77.53365349,1308.235,20.68666667,0.002068434,77.94374377,20.78230952,1603.912845,1619.851008
98,bfs,1245,0.890448162,0,0,0,0.214951461,0,0.002073044,0,20209256.95,23923323.44,87.93638077,25.93355325,25.06173421,87.27756833,78.29757634,1308.67,20.66,0.002073044,77.25647463,20.77247857,1617.627927,1604.808464
99,bfs,1252,0.903117813,0,0,0,0.219269557,0,0.002119227,0,21747740.3,45488956.05,88.88312912,26.11875589,25.5537229,88.34401508,77.98696277,1285.764,20.15,0.002119227,77.78961793,20.7185881,1571.4373,1611.691052
100,bfs,1260,0.910752952,0,0,0,0.224787435,0,0.002128484,0,20871925.04,30809592.64,86.62399622,25.81294284,25.71421823,86.50212565,79.70551157,1322.271,20.67333333,0.002128484,78.78407329,20.43511428,1647.778609,1609.961541
101,bfs,1267,0.900954673,0,0,0,0.219217757,0,0.00206028,0,21094294.24,35459621.01,84.44626168,24.77616822,24.36635514,84.17429907,78.94461215,1333.736,20.49,0.00206028,79.75977898,20.67486667,1617.575103,1649.022796
102,bfs,1275,0.887921512,0,0,0,0.216667636,0,0.00209593,0,21874127.13,40811935.52,83.35077519,24.85707364,24.41327519,82.7747093,79.80945785,1360.311,21.09666667,0.00209593,79.06731604,20.85312857,1683.713529,1648.800907
103,bfs,1282,0.894969459,0,0,0,0.217257288,0,0.002104118,0,21807590.18,35309213.06,82.59740861,24.41508561,23.94261916,81.99444702,80.34106108,1380.634,21.08,0.002104118,77.9217418,20.86179286,1693.589568,1625.587237
