,power_usage,application,fp_active,dram_active,sm_app_clock,run_time,energy,predicted_power_usage,predicted_run_time,predicted_energy
269,69.031,tpacf,0.1205,0.001,772,12.25,845.62975,69.6129525,12.2449125,852.4045122
270,72.711,tpacf,0.1295,0.001,780,12.09,879.07599,72.20705,12.1458375,877.0150957
271,69.63,tpacf,0.1205,0.001,787,11.86,825.8118,70.6115875,11.9981875,847.2110665
272,70.3,tpacf,0.12,0.001,795,11.87,834.461,72.11994125,11.9025625,858.4121082
273,71.14,tpacf,0.1205,0.001,802,11.76,836.6064,73.70900625,11.7796,868.26261
274,71.857,tpacf,0.1205,0.001,810,11.63,835.69691,71.86870375,11.7523625,844.6270589
275,71.99,tpacf,0.121,0.001,817,11.7,842.283,73.90919625,11.6617,861.9068739
276,76.231,tpacf,0.13,0.001,825,11.63,886.56653,75.69099,11.68625,884.5438319
277,75.691,tpacf,0.13,0.03,832,11.65,881.80015,80.949545,12.784975,1034.937909
278,80.042,tpacf,0.135,0.021,840,11.41,913.27922,82.85956125,12.5180375,1037.239095
279,76.876,tpacf,0.1295,0.001,847,11.36,873.31136,76.1381475,11.4167,869.2463886
280,74.47,tpacf,0.122,0.001,855,11.36,845.9792,75.53818125,11.3909625,860.4525899
281,74.379,tpacf,0.119,0.001,862,11.39,847.17681,75.1528175,11.1946,841.3057308
282,78.767,tpacf,0.1305,0.001,870,10.98,864.86166,78.9467525,11.176875,882.3779843
283,82.593,tpacf,0.1395,0.001,877,10.98,906.87114,80.98288125,11.3371625,918.1160844
284,76.563,tpacf,0.1215,0.001,885,10.96,839.13048,78.5815375,11.0210375,866.0500716
285,79.115,tpacf,0.1305,0.001,892,11.08,876.5942,79.54593625,11.022825,876.8209347
286,77.142,tpacf,0.1195,0.001,900,10.83,835.44786,77.7894475,10.9408375,851.0817043
287,80.4,tpacf,0.13,0.001,907,10.96,881.184,78.4063175,10.962025,859.4920126
288,78.209,tpacf,0.121,0.001,915,10.72,838.40048,78.5863875,10.913275,857.634858
289,78.232,tpacf,0.12,0.001,922,10.92,854.29344,78.40740375,10.6891,838.1045794
290,78.64,tpacf,0.12,0.001,930,10.59,832.7976,78.49053125,10.84385,851.1395473
291,78.663,tpacf,0.1195,0.001,937,10.67,839.33421,79.74500875,10.656225,849.7807559
292,83.636,tpacf,0.13,0.001,945,10.46,874.83256,80.49385125,10.6410875,856.5421144
293,80.152,tpacf,0.1205,0.001,952,10.58,848.00816,80.95899625,10.4524125,846.2168244
294,80.892,tpacf,0.12,0.001,960,10.38,839.65896,80.67149375,10.4488,842.9203039
295,80.736,tpacf,0.1205,0.001,967,10.36,836.42496,81.28803125,10.4226375,847.2356828
