,Unnamed: 0,index,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active,predicted_power_usage,predicted_run_time,predicted_energy,n_power_usage,predicted_n_power_usage,n_run_time,predicted_n_run_time,predicted_n_energy,energy
55,55,55,bfs,922,0.90198714,0,0,0,0.210795565,0.0,0.002478492,0,18534938.4,20692250.16,84.8864745,24.08381375,23.51662971,84.38625277,67.91563548,1193.562,21.67666667,0.002478492,67.33305202,21.47236191,1445.799661,4.232883082,67.32195974,3.121336496,21.5045296,1447.727076,1472.1845919811856
56,56,56,bfs,930,0.90481629,0,0,0,0.210795928,0.0,0.002376471,0,20813579.0,28548124.64,85.46153846,24.13891403,23.85429864,85.24117647,67.85471448,1190.221,21.33666667,0.002376471,67.97033201,21.39401429,1454.158254,4.231998697,67.98191385,3.106229573,21.37747434,1453.281619,1447.7934248477823
57,57,57,bfs,937,0.908027132,0,0,0,0.211122578,0.0,0.002475775,0,18963283.81,21542460.47,89.14583333,24.92781008,24.57170543,88.64728682,67.971047,1163.41,21.14666667,0.002475775,67.80295021,21.4093881,1451.619675,4.233686808,67.82490809,3.097686996,21.38262246,1450.274403,1437.3610741199034
58,58,58,bfs,945,0.903562925,0,0,0,0.209159864,0.0,0.002383078,0,20928325.84,39842571.94,86.31590136,24.53316327,23.84693878,85.65731293,68.0018801,1188.239,21.45,0.002383078,67.76126791,21.24600238,1439.656059,4.234133752,67.8388789,3.111290614,21.25231279,1441.733074,1458.6403281449998
59,59,59,bfs,952,0.906538221,0,0,0,0.213385785,0.0,0.002401878,0,23346109.42,56372942.07,89.34376397,25.10952168,24.7934734,88.87751453,68.53658918,1164.002,21.29333333,0.002401878,68.60136896,21.23484524,1456.739453,4.241853077,68.59712476,3.10428768,21.24226878,1457.158561,1459.3724387110115
60,60,60,bfs,960,0.906019531,0,0,0,0.213237305,0.0,0.002310059,0,20617667.25,31192901.23,89.05761719,25.24755859,24.53466797,88.47314453,68.72453516,1170.117,20.82,0.002310059,69.00455835,21.07214286,1454.073911,4.244552267,68.99462428,3.08282698,21.05920618,1452.972018,1430.8448220312
61,61,61,bfs,967,0.906962349,0,0,0,0.212873151,0.0,0.002373375,0,22310438.31,48025849.38,89.23083819,25.22770058,24.3617212,88.48095025,68.95787584,1167.168,21.10666667,0.002373375,68.67590442,21.0337381,1444.510987,4.247893287,68.68341822,3.095879222,21.0682736,1447.041047,1455.470899626126
62,62,62,bfs,975,0.688893646,0,0,0,0.1165,0.0,0.001504144,0,5576970.0,6069056.0,79.13535912,21.23066298,20.85220994,78.77624309,61.52913812,205.58,21.20666667,0.001504144,36.09948459,21.13417143,762.9326959,4.135632658,35.79618842,3.100392544,21.13720308,756.6313043,1304.8279226032305
63,63,63,bfs,982,0.907121693,0,0,0,0.214262787,0.0,0.002337743,0,22328853.63,50723686.85,88.37566138,25.22707231,24.60670194,87.89814815,69.06488272,1174.997,21.01,0.002337743,69.12975317,21.20711429,1466.042576,4.249421709,69.14276734,3.091496896,21.18944977,1465.097196,1451.0531859472
64,64,64,bfs,990,0.902072694,0,0,0,0.213935484,0.0,0.002313948,0,19221470.56,21748925.2,85.24488869,23.94320763,23.15356656,84.49068605,69.24400636,1208.858,21.40333333,0.002313948,69.27689477,20.8539,1444.693436,4.251974986,69.27900095,3.109209757,20.88169887,1446.663236,1482.05254922772
65,65,65,bfs,997,0.903753853,0,0,0,0.213676794,0.0,0.002324527,0,23948564.2,65315982.56,88.67062968,25.22192867,24.67679436,88.12813738,69.39293219,1177.818,20.55333333,0.002324527,69.2188381,21.29459286,1473.986975,4.254092863,69.26929555,3.070530483,21.20479511,1468.84122,1426.256066047157
66,66,66,bfs,1005,0.932114213,0,0,0,0.18,0.0,0.002,0,17156534.0,18994734.0,89.20558376,27.17005076,26.53553299,88.74365482,68.27224365,137.252,21.27666667,0.002,70.34919623,21.11140952,1485.170691,4.238044301,70.94038436,3.103539793,21.1327371,1499.164493,1452.6057709540742
67,67,67,bfs,1012,0.904550972,0,0,0,0.213263632,0.0,0.002288762,0,21583625.62,43259005.84,86.66524419,24.67757231,23.81697487,85.76244666,69.57224087,1202.266,21.0,0.002288762,69.33244568,21.01929762,1457.31931,4.256636878,69.46504979,3.091042453,21.0161692,1459.88924,1461.01705827
68,68,68,bfs,1020,0.912080292,0,0,0,0.216780593,0.0,0.002229712,0,22410036.27,50347430.28,86.66852726,25.08501503,24.32417347,85.96650923,70.26620309,1203.414,20.98,0.002229712,70.45590248,20.97449286,1477.776823,4.266422205,70.47021252,3.090132949,20.97585881,1478.173228,1474.1849408282
69,69,69,bfs,1027,0.912767865,0,0,0,0.216226505,0.0,0.002181897,0,18859586.43,21280096.57,85.68644435,24.5591165,23.96015591,84.84408835,70.43360459,1203.259,20.99333333,0.002181897,70.62893584,20.95886905,1480.302617,4.268768411,70.61665998,3.090739377,20.94833084,1479.301156,1478.636138791288
70,70,70,bfs,1035,0.911411606,0,0,0,0.215581197,0.0,0.00217139,0,19723942.37,27723747.05,88.5708502,25.37291948,24.8974359,88.11111111,70.83017094,1188.198,20.96666667,0.00217139,70.91273802,20.97158333,1487.152395,4.274304596,70.83597932,3.089526153,20.95794266,1484.576393,1485.0725842781005
71,71,71,bfs,1042,0.913112309,0,0,0,0.217300988,0.0,0.002146002,0,18661211.12,20779376.18,86.28571429,24.99775382,24.28032345,85.61051213,70.87946676,1211.01,21.09333333,0.002146002,71.64661368,21.01063333,1505.34073,4.274990643,71.64435507,3.095275904,21.01038048,1505.275159,1495.0842186213351
