,sm_app_clock,application,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active
304,1267,LSTM,0.437061836,0,0,0,0.00170102,0,0.001139704,0,54408797.33,164403147,44.01658686,0,0,43.45825526,38.05921827,4267.075,115.6039536,0.001139704
305,1267,NAMD,0.505984929,0,0,0,0.042684906,0.003211454,0.142137028,0,2746809754,1252027942,34.51936007,4.287502898,3.801530257,34.11500116,77.02669951,5270.246,75.663799,0.145348482
306,1275,LAMMPS,0.97230086,0,0,0,0.346753582,0.20652149,0.082581662,0,31369104.41,48807058.22,91.72492837,52.58166189,52.15329513,90.95558739,157.9062006,540.003,6,0.289103152
307,1275,LSTM,0.431129863,0,0,0,0.001831934,0,0.001145396,0,55092982.02,169220458.2,43.25685698,0,0,42.88574027,38.65526127,4343.344,118.6472572,0.001145396
308,1275,NAMD,0.45573007,0,0,0,0.038263642,0.002692791,0.129830901,0,2454308749,1146147504,27.5243656,3.385358185,2.957556703,27.23355042,71.46747923,6082.137,80.948658,0.132523692
309,1282,LAMMPS,0.970147606,0,0,0,0.343767287,0.214202128,0.087615691,0,24966782.84,57051488.21,90.90292553,52.38430851,52.12765957,89.34441489,156.8234801,491.084,6,0.301817819
310,1282,LSTM,0.406693528,0,0,0,0.001711301,0,0.001146961,0,53015704.09,159526754.8,40.92629634,0,0,40.36265766,39.12159562,4656.991,117.2641675,0.001146961
311,1282,NAMD,0.463357675,0,0,0,0.037101754,0.002669079,0.132940351,0,2447451454,1049810260,26.63925439,3.302192982,2.815570175,26.18442982,71.2874318,6050.716,88.193066,0.13560943
312,1290,LAMMPS,0.96425876,0,0,0,0.320850404,0.218513477,0.083939353,0,23667972,64974382.24,92.10916442,53.30592992,52.58490566,91.43396226,163.1732372,492.494,6,0.30245283
313,1290,LSTM,0.419074481,0,0,0,0.001738152,0,0.001141108,0,54110109.51,168168165.2,41.97271033,0,0,41.41041001,38.84577642,4511.351,119.9753106,0.001141108
314,1290,NAMD,0.436837802,0,0,0,0.036292488,0.0030308,0.129670507,0,2347368967,983440428.1,24.03124308,2.999778418,2.551074673,23.42831819,69.85517527,6596.762,85.9241905,0.132701307
315,1297,LAMMPS,0.96619015,0,0,0,0.347168263,0.211493844,0.077266758,0,24470237.85,17604946.71,90.35978112,52.62790698,52.07660739,89.85499316,160.5916689,550.134,6,0.288760602
316,1297,LSTM,0.428681258,0,0,0,0.001753082,0,0.001152237,0,54763368.87,166335116.8,43.02479568,0,0,42.3904973,39.87603124,4507.577,120.1101302,0.001152237
317,1297,NAMD,0.439799463,0,0,0,0.037685542,0.002630483,0.127877798,0,2488043061,1054483940,25.72470904,3.181736795,2.720904208,25.35362578,70.58457475,6333.872,92.1512945,0.130508281
318,1305,LAMMPS,0.957506812,0,0,0,0.350410082,0.200284741,0.080422343,0,41921883.79,76690826.28,91.63351499,53.63896458,53.08991826,90.9386921,164.6710954,492.738,6,0.280707084
319,1305,LSTM,0.387514212,0,0,0,0.001753082,0,0.001,0,383950.8527,1229237.984,36.98966408,0,0,36.33074935,39.82561757,66.525,117.0004926,0.001
320,1305,NAMD,0.463251737,0,0,0,0.03921087,0.002768492,0.127294442,0,2529776417,1080744038,27.36452799,3.40866367,2.919288925,27.02349816,71.85419248,6032.68,85.977581,0.130062934
321,1312,LAMMPS,0.983486034,0,0,0,0.374817039,0.202459497,0.075680168,0,16473827.27,16260636.52,91.0377095,52.47625698,51.8547486,89.15642458,163.5367263,473.525,6,0.278139665
322,1312,LSTM,0.413038737,0,0,0,0.001743048,0,0.00113015,0,54249261.82,166265294.7,41.46068183,0,0,40.83753501,40.05337207,4616.005,116.2045611,0.00113015
